Transaction ID,Transaction Type,Asset ID,Date Of Transaction,Money Amount,Purchase/Sale Price Per Splint,Fees,Purchase/Sale Confirmation,Day1Profit
481759,Marketplace purchase,85fd3cc1-c363-4a3a-bf43-0f255477138c,23.01.2025,51.30 EUR,51.30 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-01-23 - 9Z0W6SoU.pdf,3.83
481851,Marketplace purchase,f7f0b7a4-ca0c-44c4-a746-5b7e63aa0149,23.01.2025,51.30 EUR,51.30 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-01-23 - y9qilcm0.pdf,4.1
478901,Marketplace purchase,6111e1cd-2b33-4d5b-8498-ccb117552904,16.01.2025,55.80 EUR,55.80 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-01-16 - Thak2456.pdf,3.04
478905,Marketplace purchase,d8aba370-c141-4ffa-87f7-7a8b0887cf0e,16.01.2025,49.90 EUR,49.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-01-16 - hq1XGzQ9.pdf,2.77
475622,Marketplace purchase,ef1bee48-c50b-4bc1-b24b-1b4505524276,09.01.2025,61.90 EUR,61.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-01-09 - Xm1k8aeK.pdf,2.78
475675,Marketplace purchase,f21b77ec-8ff4-49c1-ac98-17ff73146602,09.01.2025,63.50 EUR,63.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-01-09 - Mf2kXlAv.pdf,2.55
475687,Marketplace purchase,a1cd95c8-c11c-4bcd-b1ee-6c828fcf8f38,09.01.2025,53.00 EUR,53.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-01-09 - yeM78dFM.pdf,1.91
464722,Marketplace purchase,cb85a404-503e-4010-a946-56ce0614fc83,26.12.2024,51.50 EUR,51.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-12-26 - 7BZLC26l.pdf,2.49
458065,Marketplace purchase,f5dd7d0d-6db6-4908-a97d-99fbfd103459,12.12.2024,44.60 EUR,44.60 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-12-12 - Bkzj2hO7.pdf,
458069,Marketplace purchase,d3c5575e-ad77-40c9-a894-a3cfb67b20c4,12.12.2024,51.60 EUR,51.60 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-12-12 - Va4wSKKf.pdf,2.88
453926,Marketplace purchase,8bcbfeda-080a-44a4-9421-9807cdef214a,05.12.2024,50.30 EUR,50.30 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-12-05 - dl7nwiO5.pdf,
453930,Marketplace purchase,04d35b08-8aac-4073-9ee3-fca9353ddaf8,05.12.2024,50.50 EUR,50.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-12-05 - SAMNNjAv.pdf,
449472,Marketplace purchase,32bff738-cf09-457a-95af-1ae86afef6a8,28.11.2024,49.60 EUR,49.60 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-11-28 - kpYFv2EX.pdf,1.5
439093,Marketplace purchase,ba6d6b8a-7282-47df-a53b-f03f1ccedad5,07.11.2024,55.00 EUR,55.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-11-07 - zVfgyNUf.pdf,
439099,Marketplace purchase,9987e0af-fb12-420a-be26-ba5f754318cb,07.11.2024,52.00 EUR,52.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-11-07 - LTMGifou.pdf,
427081,Marketplace purchase,a8d6f76b-017c-4907-b55b-7c871daf4413,10.10.2024,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-10-10 - QJd8so2j.pdf,5.53
427085,Marketplace purchase,55512356-30d3-43f8-ba37-c19f5cdeb1c6,10.10.2024,46.40 EUR,46.40 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-10-10 - YkBRDm2f.pdf,0.07
427092,Marketplace purchase,c8aee5a2-cbcf-4896-99f5-2443244939bf,10.10.2024,47.20 EUR,47.20 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-10-10 - wmKt0kW0.pdf,
427105,Marketplace purchase,11d12012-4693-4642-a35d-f2588ab01479,10.10.2024,48.60 EUR,48.60 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-10-10 - WLcUbLFJ.pdf,0.47
427107,Marketplace purchase,d18900fc-87da-4fb3-8c32-608bb64fe909,10.10.2024,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-10-10 - HfyJCctJ.pdf,1.39
420644,Primary market purchase,740c7090-15ac-4d86-9c32-444b3481e11e,26.09.2024,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-09-26 - eUZSmQkW.pdf,
420646,Primary market purchase,8972d793-90d6-4667-8e7d-df5037a9ef6f,26.09.2024,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-09-26 - 4RdJ9383.pdf,
420648,Primary market purchase,c7a351d3-5b8c-47ab-90c8-745a1d8836a9,26.09.2024,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-09-26 - 7srQAAtw.pdf,
407863,Marketplace purchase,a2a9f436-c361-450d-a57a-5d3448b3f511,29.08.2024,46.90 EUR,46.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-08-29 - x2uoeR7W.pdf,
407867,Marketplace purchase,55e6dd03-5359-4ed9-b1b9-72693ae094bd,29.08.2024,44.00 EUR,44.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-08-29 - D1OEAZt5.pdf,
407877,Marketplace purchase,59fa9656-57bf-485f-8916-a91a4b716579,29.08.2024,46.90 EUR,46.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-08-29 - ROSV6t3r.pdf,
407886,Marketplace purchase,3946d398-29c9-4943-a5d4-7103118fe998,29.08.2024,49.50 EUR,49.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-08-29 - TBoAFTt3.pdf,
406804,Primary market purchase,726ed2f0-6376-46b4-84b5-fa5ae1eaf24b,27.08.2024,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-08-27 - Hjw5iznP.pdf,
401653,Primary market purchase,6b4ca014-689a-4373-9395-e70a7c0aed91,16.08.2024,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-08-16 - ip3srzUj.pdf,
388998,Marketplace purchase,ae18891a-39c0-4457-9bca-cd7a1b05d555,25.07.2024,45.10 EUR,45.10 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-07-25 - n9zfP6Y7.pdf,
386635,Primary market purchase,6efc7dfb-9a13-4dcd-bb2d-7583d6cbb994,19.07.2024,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-07-19 - fPs4xSAo.pdf,
378507,Primary market purchase,6015ac5b-8e18-4e41-8923-eae00637fae7,03.07.2024,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-07-03 - a3tp3G7K.pdf,
378517,Primary market purchase,df92271d-a60a-47d1-b8cd-1dc2a4ddc6d7,03.07.2024,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-07-03 - ChiySiKV.pdf,
378521,Primary market purchase,bb91cb58-671f-4223-ba8c-96dcb4136abd,03.07.2024,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-07-03 - DMJHazcK.pdf,
355830,Primary market purchase,73aecc99-d6ab-4596-ad49-098530ad3b82,03.06.2024,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-06-03 - SCnVYYdr.pdf,
355832,Primary market purchase,262a2bf1-b4a0-49ef-8e70-709b43758d8d,03.06.2024,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-06-03 - M5dOJnCg.pdf,
355837,Primary market purchase,2927783f-94af-4181-9bf0-947149a30779,03.06.2024,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2024-06-03 - nrRvUXPV.pdf,
301630,Primary market purchase,9dc2efa3-775c-49de-aaa1-62b48f6e722c,28.02.2024,50.00 EUR,50.00 EUR,0.00 EUR,File not yet available.,
294354,Primary market purchase,9c7e8e40-c090-4869-986f-b913d6fd3ad7,13.02.2024,50.00 EUR,50.00 EUR,0.00 EUR,File not yet available.,
274632,Primary market purchase,25273f6a-1d6c-4e13-9493-282d7f8f35f2,30.12.2023,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2023-12-30 - xQyLQGaF.pdf,
270297,Marketplace purchase,11e084d7-164f-4501-91f1-e1a9b3372c5c,21.12.2023,46.60 EUR,46.60 EUR,0.00 EUR,generated_files/Purchase confirmation 2023-12-21 - eoJYM9Ry.pdf,
270357,Marketplace purchase,acfcc164-11cc-42af-b208-19af93c124e4,21.12.2023,54.50 EUR,54.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2023-12-21 - tKjqcd1c.pdf,
271001,Marketplace purchase,10c13e82-c182-482e-838d-2e6331f63b0f,21.12.2023,48.00 EUR,48.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2023-12-21 - y4DoAp06.pdf,
271006,Marketplace purchase,db8e27aa-5b38-4148-bc05-6e236e653e7e,21.12.2023,46.10 EUR,46.10 EUR,0.00 EUR,generated_files/Purchase confirmation 2023-12-21 - 4zILDla0.pdf,
271018,Marketplace purchase,1b856bba-a118-453e-bb65-ef97e15f3464,21.12.2023,56.50 EUR,56.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2023-12-21 - copkEjUy.pdf,
269118,Primary market purchase,f8a1662c-8a65-42d7-a46d-fabf286e0180,18.12.2023,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2023-12-18 - 4p2vTO7v.pdf,
266521,Primary market purchase,e1216634-8d46-4f5d-9aaa-f1fe91a727db,10.12.2023,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2023-12-10 - J9ul0WS4.pdf,
266523,Primary market purchase,8cf13993-c475-4452-ae6c-c94557b5a90d,10.12.2023,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2023-12-10 - G3NpJy6I.pdf,
266525,Primary market purchase,6c98432b-32d2-4144-87ee-4244e4a43dc1,10.12.2023,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2023-12-10 - Ibijtvxr.pdf,
